순위,제목,아티스트,앨범,이미지
1,I AM,IVE (아이브),I've IVE,
2,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,
3,Kitsch,IVE (아이브),I've IVE,
4,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',
5,Spicy,aespa,MY WORLD - The 3rd Mini Album,
6,꽃,지수 (JISOO),ME,
7,Ditto,NewJeans,NewJeans 'OMG',
8,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans',
9,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',
10,물론,허각,물론,
11,헤어지자 말해요,박재정,1집 Alone,
12,OMG,NewJeans,NewJeans 'OMG',
13,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,
14,FRIEND THE END,볼빨간사춘기,사랑.zip,
15,Teddy Bear,STAYC(스테이씨),Teddy Bear,
16,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',
17,우리들의 블루스,임영웅,IM HERO,
18,Heaven(2023),임재현,시작은 첫키스 OST Part.1,
19,사람 Pt.2 (feat. 아이유),Agust D,D-DAY,
20,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게,
21,다시 만날 수 있을까,임영웅,IM HERO,
22,I Don't Think That I Like Her,Charlie Puth,CHARLIE,
23,Cupid,FIFTY FIFTY,The Beginning: Cupid,
24,After LIKE,IVE (아이브),After LIKE,
25,London Boy,임영웅,Polaroid,
26,F*ck My Life,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',
27,심(心),DK(디셈버),심(心),
28,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,
29,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,
30,Polaroid,임영웅,Polaroid,
31,무지개,임영웅,IM HERO,
32,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),
33,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1,
34,아버지,임영웅,IM HERO,
35,Attention,NewJeans,NewJeans 1st EP 'New Jeans',
36,Like Crazy,지민,FACE,
37,LOVE DIVE,IVE (아이브),LOVE DIVE,
38,나의 바람 (Wind And Wish),비투비,WIND AND WISH,
39,NIGHT DANCER,imase,NIGHT DANCER,
40,안녕이라고 말하지마,V.O.S,안녕이라고 말하지마,
41,인생찬가,임영웅,IM HERO,
42,A bientot,임영웅,IM HERO,
43,Love Me Like This,NMIXX,expérgo,
44,손이 참 곱던 그대,임영웅,IM HERO,
45,KNOCK,이채연,Over The Moon,
46,Dynamite,방탄소년단,Dynamite (DayTime Version),
47,사랑해 진짜,임영웅,IM HERO,
48,연애편지,임영웅,IM HERO,
49,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),
50,봄날,방탄소년단,YOU NEVER WALK ALONE,
51,보금자리,임영웅,IM HERO,
52,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,
53,Butter,방탄소년단,Butter,
54,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,
55,사랑하기 싫어,지아,사랑하기 싫어,
56,먼지,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',
57,Permission to Dance,방탄소년단,Butter / Permission to Dance,
58,on the street (with J. Cole),j-hope,on the street (with J. Cole),
59,Nxde,(여자)아이들,I love,
60,Candy,NCT DREAM,Candy - Winter Special Mini Album,
61,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],
62,해요 (2022),#안녕,해요 (2022),
63,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,
64,That's Hilarious,Charlie Puth,CHARLIE,
65,STAY,The Kid LAROI,Stay,
66,Nostalgia,우디 (Woody),Nostalgia,
67,취중고백,김민석 (멜로망스),취중고백,
68,Monologue,테이,Monologue,
69,ELEVEN,IVE (아이브),ELEVEN,
70,그라데이션,10CM,5.3,
71,April shower,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',
72,Shut Down,BLACKPINK,BORN PINK,
73,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS),
74,Thirsty,aespa,MY WORLD - The 3rd Mini Album,
75,발걸음,DK(디셈버),발걸음,
76,Pink Venom,BLACKPINK,BORN PINK,
77,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04),
78,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night),
79,I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',
80,해금,Agust D,D-DAY,
81,내가 아니라도,주호,내가 아니라도,
82,TOMBOY,(여자)아이들,I NEVER DIE,
83,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),
84,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,
85,Perfume,NCT 도재정,Perfume - The 1st Mini Album,
86,Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',
87,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),
88,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,
89,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun',
90,The Planet,방탄소년단,The Planet,
91,나비무덤,포맨 (4MEN),나비무덤,
92,가질 수 없는 너,#안녕,가질 수 없는 너,
93,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에,
94,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY',
95,나의 마음에 (Seed),태양,Down to Earth,
96,Salty & Sweet,aespa,MY WORLD - The 3rd Mini Album,
97,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',
98,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1,
99,Welcome To MY World (Feat. nævis),aespa,MY WORLD - The 3rd Mini Album,
100,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],
